Field1;X_COORD;Y_COORD;HABITAT;Pixel_Dens;Abundance;Lat;Long
1167;758500;9809811;1;0,17358490600;0,06900000000;35,32350;-1,71927
1240;757236;9810433;1;0,18339622600;0,07290000000;35,31210;-1,71366
1241;757866;9810437;1;0,16779874200;0,06670000000;35,31780;-1,71362
1242;758496;9810441;1;0,18389937100;0,07310000000;35,32340;-1,71358
1315;755971;9811055;1;0,17358490600;0,06900000000;35,30070;-1,70805
1316;756602;9811059;1;0,17987421400;0,07150000000;35,30640;-1,70801
1317;757232;9811063;1;0,16729559700;0,06650000000;35,31210;-1,70797
1318;757862;9811067;1;0,18314465400;0,07280000000;35,31770;-1,70792
1319;758492;9811071;1;0,16679245300;0,06630000000;35,32340;-1,70788
1392;754707;9811677;1;0,17836478000;0,07090000000;35,28940;-1,70244
1393;755337;9811681;1;0,16729559700;0,06650000000;35,29500;-1,70240
1394;755967;9811685;1;0,16880503100;0,06710000000;35,30070;-1,70236
1395;756598;9811689;1;0,17685534600;0,07030000000;35,30640;-1,70232
1396;757228;9811693;1;0,16704402500;0,06640000000;35,31200;-1,70227
1397;757858;9811697;1;0,17333333300;0,06890000000;35,31770;-1,70223
1473;754073;9812303;1;0,17232704400;0,06850000000;35,28370;-1,69679
1474;754703;9812307;1;0,16729559700;0,06650000000;35,28930;-1,69675
1475;755333;9812311;1;0,16201257900;0,06440000000;35,29500;-1,69671
1476;755963;9812315;1;0,17157232700;0,06820000000;35,30070;-1,69666
1477;756594;9812319;1;0,16981132100;0,06750000000;35,30630;-1,69662
1478;757224;9812323;1;0,17257861600;0,06860000000;35,31200;-1,69658
1479;757854;9812327;1;0,17207547200;0,06840000000;35,31760;-1,69653
1555;752808;9812926;1;0,18012578600;0,07160000000;35,27230;-1,69117
1556;753438;9812930;1;0,18540880500;0,07370000000;35,27800;-1,69113
1557;754069;9812934;1;0,18088050300;0,07190000000;35,28360;-1,69109
1558;754699;9812938;1;0,18893081800;0,07510000000;35,28930;-1,69104
1559;755329;9812942;1;0,17635220100;0,07010000000;35,29500;-1,69100
1560;755959;9812946;1;0,17408805000;0,06920000000;35,30060;-1,69096
1561;756590;9812950;1;0,18113207500;0,07200000000;35,30630;-1,69092
1562;757220;9812954;1;0,16654088100;0,06620000000;35,31190;-1,69087
1563;757850;9812958;1;0,17459119500;0,06940000000;35,31760;-1,69083
1639;751543;9813548;1;0,17534591200;0,06970000000;35,26090;-1,68556
1640;752174;9813552;1;0,17509434000;0,06960000000;35,26660;-1,68552
1641;752804;9813556;1;0,18012578600;0,07160000000;35,27230;-1,68548
1642;753434;9813560;1;0,16553459100;0,06580000000;35,27790;-1,68544
1643;754065;9813564;1;0,17106918200;0,06800000000;35,28360;-1,68539
1644;754695;9813568;1;0,16503144700;0,06560000000;35,28920;-1,68535
1645;755325;9813572;1;0,16830188700;0,06690000000;35,29490;-1,68531
1646;755955;9813576;1;0,17257861600;0,06860000000;35,30060;-1,68526
1647;756586;9813580;1;0,17509434000;0,06960000000;35,30620;-1,68522
1648;757216;9813584;1;0,17157232700;0,06820000000;35,31190;-1,68518
1649;757846;9813588;1;0,17610062900;0,07000000000;35,31760;-1,68514
1650;758476;9813592;1;0,18012578600;0,07160000000;35,32320;-1,68509
1725;750279;9814170;1;0,16679245300;0,06630000000;35,24960;-1,67995
1726;750909;9814174;1;0,16981132100;0,06750000000;35,25520;-1,67991
1727;751539;9814178;1;0,17962264200;0,07140000000;35,26090;-1,67987
1728;752170;9814182;1;0,17132075500;0,06810000000;35,26660;-1,67983
1729;752800;9814186;1;0,17459119500;0,06940000000;35,27220;-1,67978
1730;753430;9814190;1;0,18616352200;0,07400000000;35,27790;-1,67974
1731;754061;9814194;1;0,15748427700;0,06260000000;35,28360;-1,67970
1732;754691;9814198;1;0,18188679200;0,07230000000;35,28920;-1,67965
1733;755321;9814202;1;0,17987421400;0,07150000000;35,29490;-1,67961
1734;755951;9814206;1;0,18012578600;0,07160000000;35,30050;-1,67957
1735;756582;9814210;1;0,17308176100;0,06880000000;35,30620;-1,67953
1736;757212;9814214;1;0,17811320800;0,07080000000;35,31190;-1,67948
1737;757842;9814218;1;0,17006289300;0,06760000000;35,31750;-1,67944
1738;758472;9814222;1;0,18264150900;0,07260000000;35,32320;-1,67940
1815;749644;9814797;1;0,17283018900;0,06870000000;35,24390;-1,67429
1816;750275;9814801;1;0,17987421400;0,07150000000;35,24950;-1,67425
1817;750905;9814805;1;0,17132075500;0,06810000000;35,25520;-1,67421
1818;751535;9814809;1;0,18163522000;0,07220000000;35,26080;-1,67416
1819;752166;9814813;1;0,18113207500;0,07200000000;35,26650;-1,67412
1820;752796;9814817;1;0,17333333300;0,06890000000;35,27220;-1,67408
1821;753426;9814820;1;0,18364779900;0,07300000000;35,27780;-1,67404
1822;754057;9814824;1;0,17811320800;0,07080000000;35,28350;-1,67400
1823;754687;9814828;1;0,18566037700;0,07380000000;35,28920;-1,67396
1824;755317;9814832;1;0,17811320800;0,07080000000;35,29480;-1,67392
1825;755947;9814836;1;0,17006289300;0,06760000000;35,30050;-1,67387
1826;756578;9814840;1;0,18993710700;0,07550000000;35,30620;-1,67383
1827;757208;9814844;1;0,16981132100;0,06750000000;35,31180;-1,67379
1828;757838;9814848;1;0,17761006300;0,07060000000;35,31750;-1,67374
1829;758468;9814852;1;0,19597484300;0,07790000000;35,32310;-1,67370
1906;748380;9815419;1;0,16477987400;0,06550000000;35,23250;-1,66868
1907;749010;9815423;1;0,17861635200;0,07100000000;35,23820;-1,66864
1908;749640;9815427;1;0,18088050300;0,07190000000;35,24380;-1,66860
1909;750271;9815431;1;0,16553459100;0,06580000000;35,24950;-1,66855
1910;750901;9815435;1;0,17861635200;0,07100000000;35,25510;-1,66851
1911;751532;9815439;1;0,17308176100;0,06880000000;35,26080;-1,66847
1912;752162;9815443;1;0,17232704400;0,06850000000;35,26650;-1,66843
1913;752792;9815447;1;0,17207547200;0,06840000000;35,27210;-1,66838
1914;753422;9815451;1;0,18490566000;0,07350000000;35,27780;-1,66834
1915;754053;9815455;1;0,17911949700;0,07120000000;35,28350;-1,66830
1916;754683;9815459;1;0,16251572300;0,06460000000;35,28910;-1,66825
1917;755313;9815463;1;0,17081761000;0,06790000000;35,29480;-1,66821
1918;755944;9815467;1;0,16427673000;0,06530000000;35,30050;-1,66817
1919;756574;9815470;1;0,18113207500;0,07200000000;35,30610;-1,66814
1920;757204;9815474;1;0,19018867900;0,07560000000;35,31180;-1,66809
1921;757834;9815478;1;0,17735849100;0,07050000000;35,31740;-1,66805
1922;758464;9815482;1;0,17358490600;0,06900000000;35,32310;-1,66801
1923;759095;9815486;1;0,18088050300;0,07190000000;35,32880;-1,66796
1924;759725;9815490;1;0,18088050300;0,07190000000;35,33440;-1,66792
